goal_index,goal_id,district_indicator_desc,district_indicator_master_id,,indicators_value,district,district_name,valueyear,delete_flag
11,Goal 11,11.1.2 Percentage of urban households living in katcha houses,1050,10,10,DT01,Balod,2023,N
11,Goal 11,"11.2.1 People killed/injured in road accidents ( per 1,00,000 population)",1010,19.68,56.11,DT01,Balod,2023,N
11,Goal 11,11.6.1 Percentage of wards with 100% door to door waste collection,1064,100,100,DT01,Balod,2023,N
11,Goal 11,11.6.2 Percentage of urban areas having drainage facility (covered),1068,100,100,DT01,Balod,2023,N
11,Goal 11,11.6.3 Percentage Municipal Solid Waste (MSW) treated against MSW generated,1065,100,100,DT01,Balod,2023,N
11,Goal 11,11.6.4 Installed septage treatment capacity as a proportion of septage generated in urban areas ,1066,0,100,DT01,Balod,2023,N
12,Goal 12,"12.4.1 Percentage use of nitrogen fertilizer out of total N,P,K, (Nitrogen, Phosphorous, Potassium)",1005,58.58,58.58,DT01,Balod,2023,N
12,Goal 12,12.5.1 Per capita hazard waste generated,1016,0,0,DT01,Balod,2023,N
12,Goal 12,12.5.2 Quantity of hazardous waste recycled to total hazardous waste generated (in percentage),1017,87.42,87.42,DT01,Balod,2023,N
12,Goal 12,12.5.3 Per capita (in gm) plastic waste generated in urban areas ,1003,8,8,DT01,Balod,2023,N
12,Goal 12,12.5.4 Proportion of BMW treated to total quantity of BMW generated ,1018,100,100,DT01,Balod,2023,N
12,Goal 12,12.5.5 Percentage of wards with 100% source segregation,1067,100,100,DT01,Balod,2023,N
13,Goal 13,"13.1.1 Number of deaths attributed to extreme climate per 1,00,000 population ",1063,0.4,0.45,DT01,Balod,2023,N
13,Goal 13,13.2.1 CO2 saved from LED bulbs per 1000 population,1054,35.93,35.93,DT01,Balod,2023,N
15,Goal 15,15.2.1 Total area covered under different afforestation schemes (in Hectare),1055,0.28,0.2667,DT01,Balod,2023,N
15,Goal 15,"15.7.1 Number of cases registered under the Wildlife Protection Act, 1972",1056,1,1,DT01,Balod,2023,N
16,Goal 16,"16.2.1 Number of victims rescued from human trafficking per 1,00,000 population",1006,0,0,DT01,Balod,2023,N
16,Goal 16,"16.2.2 Proportion of Crime Committed against Children during the year, ( per 1,00,000 children)",1043,50.74,50.74,DT01,Balod,2023,N
16,Goal 16,16.2.3 Number of Missing Children per lakh population,1044,24.81,24.81,DT01,Balod,2023,N
16,Goal 16,16.3.1 Number of courts per lakh population,1038,2.25,2.25,DT01,Balod,2023,N
16,Goal 16,"16.5.1 Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",1041,0,0,DT01,Balod,2023,N
16,Goal 16,16.9.1 Percentage of net births registered,1058,136.4,74.1,DT01,Balod,2023,N
16,Goal 16,16.9.2 Percentage of net death registered,1059,74.1,136.4,DT01,Balod,2023,N
16,Goal 16,"16.9.3 Proportion of population covered under Aadhaar, (in percentage)",1078,94.98,94.71,DT01,Balod,2023,N
1,Goal 1,1.2.1 District MPI score,1051,0.07,0.066,DT02,Baloda Bazar,2023,N
1,Goal 1,"1.3.1 Percentage of households with any usual member covered by a health scheme or health insurance, (in percentage)",1045,66.1,66.1,DT02,Baloda Bazar,2023,N
1,Goal 1,"1.3.2 Percentage of population covered by Social Protection Schemes (Old age/widow, divorced, separated, destitute/disabled)",1032,10.82,10.82,DT02,Baloda Bazar,2023,N
1,Goal 1,1.3.3 Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),1012,100,93.03,DT02,Baloda Bazar,2023,N
1,Goal 1,1.3.4 Number of disabled persons who have worked in MGNREGA as a proportion of disabled persons registered in MGNREGA,1013,28,28.92,DT02,Baloda Bazar,2023,N
1,Goal 1,1.3.5 Percentage of households living in katcha houses (rural),1061,25.82,42.15,DT02,Baloda Bazar,2023,N
2,Goal 2,2.1.1 Children under 5 years who are underweight (weight-for-age) (%),1033,23.5,34.1,DT02,Baloda Bazar,2023,N
2,Goal 2,"2.1.2 Proportion of beneficiaries covered under Chhattisgarh National Food Security Act 2012, (in percentage)",1052,87.76,87.76,DT02,Baloda Bazar,2023,N
2,Goal 2,2.2.1 Children under 5 years who are stunted (height-for-age) (%) ,1034,20.1,32.41,DT02,Baloda Bazar,2023,N
2,Goal 2,2.2.2 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),1082,56.2,56.2,DT02,Baloda Bazar,2023,N
2,Goal 2,2.2.3 Adolescent (15 -19 years) who are anaemic (%),1001,58.79,60.2,DT02,Baloda Bazar,2023,N
2,Goal 2,2.3.1 Agriculture productivity of rice (in kg per hectare),1021,3550,3550,DT02,Baloda Bazar,2023,N
2,Goal 2,2.3.2 Agriculture productivity of wheat (in kg per hectare),1022,1305,1305,DT02,Baloda Bazar,2023,N
3,Goal 3,3.1.1 Percentage of Institutional Deliveries conducted (Including C-Sections),1035,98.9,51,DT02,Baloda Bazar,2023,N
3,Goal 3,"3.2.1 Under - five mortality rate, (per 1,000 live births)",1046,60,50.4,DT02,Baloda Bazar,2023,N
3,Goal 3,3.2.2 Percentage of children aged 12-23 months fully immunized,1028,77.3,84.7,DT02,Baloda Bazar,2023,N
3,Goal 3,"3.3.1 Tuberculosis incidence per 1,00,000 population",1053,71,71,DT02,Baloda Bazar,2023,N
3,Goal 3,"3.4.1 Suicide mortality rate, (per 1,00,000 population)",1008,22.48,22.48,DT02,Baloda Bazar,2023,N
3,Goal 3,"3.6.1 People killed in road accidents (per 1,00,000 population) ",1007,2.54,18.26,DT02,Baloda Bazar,2023,N
3,Goal 3,"3.8.1 Total physicians, nurses and midwives per 10,000 population",1029,20.75,2.54,DT02,Baloda Bazar,2023,N
4,Goal 4,4.1.1 Adjusted Net Enrolment Ratio in elementary (class 1-8) education,1071,96.1,96.1,DT02,Baloda Bazar,2023,N
4,Goal 4,4.1.2 Gross Enrolment Ratio in higher secondary (class 11-12) education,1072,87.65,87.65,DT02,Baloda Bazar,2023,N
4,Goal 4,4.1.3 Percentage of students in grade 8 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades,1039,75,75,DT02,Baloda Bazar,2023,N
4,Goal 4,4.1.4 Average annual dropout rate at secondary level (class 9-10),1073,5,5,DT02,Baloda Bazar,2023,N
4,Goal 4,4.3.1 Gross enrolment ratio (GER) in higher education,1031,11.25,11.07,DT02,Baloda Bazar,2023,N
4,Goal 4,4.a.1 Proportion of schools with access to: basic drinking water,1074,100,100,DT02,Baloda Bazar,2023,N
4,Goal 4,4.a.2 Proportion of schools with access to: basic sanitation facilities,1075,99,99,DT02,Baloda Bazar,2023,N
4,Goal 4,4.c.1 Proportion of trained teachers at secondary level (class 9-10),1076,89,89,DT02,Baloda Bazar,2023,N
4,Goal 4,4.c.2 Pupil Teacher ratio at secondary level (class-9-10),1077,30,30,DT02,Baloda Bazar,2023,N
5,Goal 5,"5.1.1 Rate of crimes against women per 1,00,000 female population",1009,3.74,51.39,DT02,Baloda Bazar,2023,N
5,Goal 5,5.1.2 Sex Ratio at Birth,1030,945,950,DT02,Baloda Bazar,2023,N
5,Goal 5,5.2.1 Per lakh women who have experienced cruelty/physical violence by husband or his relative during the calendar year,1042,51.39,3.74,DT02,Baloda Bazar,2023,N
5,Goal 5,"5.5.1 Proportion of seats held by women in  Local Self Government- three tire panchayat and ULB election, (in percentage) ",1019,47.25,47.25,DT02,Baloda Bazar,2023,N
5,Goal 5,5.6.1 Unmet need for family planning for currently married women aged 15-49 years (in percentage),1047,5.3,5.3,DT02,Baloda Bazar,2023,N
5,Goal 5,5.a.1 Operational land holdings (Female operated operational Holdings),1020,14.6,14.6,DT02,Baloda Bazar,2023,N
6,Goal 6,6.1.1 Percentage of Rural Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),1062,37.22,33.77,DT02,Baloda Bazar,2023,N
6,Goal 6,6.1.2 Percentage of Urban Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),1079,61,61,DT02,Baloda Bazar,2023,N
6,Goal 6,6.1.3 Percentage of Rural population using an improved drinking water source (Population covered with >=40 LPCD),1026,99.47,99.47,DT02,Baloda Bazar,2023,N
6,Goal 6,6.1.4 Percentage of Urban population using an improved drinking water source,1080,52,52,DT02,Baloda Bazar,2023,N
6,Goal 6,6.2.1 Proportion of Rural households having access to toilet facility ,1025,100,100,DT02,Baloda Bazar,2023,N
6,Goal 6,6.2.1 Proportion of Urban households having access to toilet facility ,1049,100,100,DT02,Baloda Bazar,2023,N
6,Goal 6,6.2.2 Percentage of Gram Panchayat (GP) achieving Open Defecation Free (ODF) target,1024,100,100,DT02,Baloda Bazar,2023,N
6,Goal 6,6.2.3 Proportion of schools with separate toilet facility for girls (in percentage),1004,97.75,97.75,DT02,Baloda Bazar,2023,N
6,Goal 6,6.4.1 Percentage ground water withdrawal against availability,1015,40.06,40.06,DT02,Baloda Bazar,2023,N
6,Goal 6,6.6.1 Percentage of blocks/mandals/taluka over- exploited,1014,0,0,DT02,Baloda Bazar,2023,N
7,Goal 7,7.1.1 Percentage of households electrified ,1027,100,100,DT02,Baloda Bazar,2023,N
7,Goal 7,7.1.2 Percentage of household using clean cooking fuel,1057,80.55,80.55,DT02,Baloda Bazar,2023,N
8,Goal 8,"8.10.1 Number of banking outlets per 1,00,000 population",1069,73.7,8.58,DT02,Baloda Bazar,2023,N
8,Goal 8,"8.10.2 Automated Teller Machines (ATMs) per 1,00,000 population",1011,12.12,7.2,DT02,Baloda Bazar,2023,N
8,Goal 8,8.10.3 Proportion of women account holders in PMJDY ,1070,8.58,54.71,DT02,Baloda Bazar,2023,N
8,Goal 8,8.5.1 Workforce Participation Ratio (WPR) (in rate per 100). a) Total b) male c) female ,1036,7.2,70.93,DT02,Baloda Bazar,2023,N
8,Goal 8,8.5.2 Labour force participation rate (%) (15-59 years) ,1037,54.71,12.22,DT02,Baloda Bazar,2023,N
9,Goal 9,9.1.1 Percentage of targeted habitations connected by all-weather roads under Pradhan Mantri Gram Sadak Yojana,1060,100,100,DT02,Baloda Bazar,2023,N
9,Goal 9,9.2.1 Manufacturing employment as a proportion of total employment (in percentage),1023,1.429891965,1.43,DT02,Baloda Bazar,2023,N
10,Goal 10,10.2.1 Proportion of SC/ST persons in local Elected bodies,1002,41.16,41.16,DT02,Baloda Bazar,2023,N
10,Goal 10,10.2.2 Percentage of population in the lowest two wealth quintiles as per the Wealth Index,1048,33.01,33.01,DT02,Baloda Bazar,2023,N
10,Goal 10,10.4.1 Rate total crime against SCs/STs,1040,13.55,13.55,DT02,Baloda Bazar,2023,N
11,Goal 11,"11.1.1 Proportion of Urban Population Living in Slums, informal Settlements or Inadequate Housing",1081,7,7,DT02,Baloda Bazar,2023,N
11,Goal 11,11.1.2 Percentage of urban households living in katcha houses,1050,16,16,DT02,Baloda Bazar,2023,N
11,Goal 11,"11.2.1 People killed/injured in road accidents ( per 1,00,000 population)",1010,18.26,20.75,DT02,Baloda Bazar,2023,N
11,Goal 11,11.6.1 Percentage of wards with 100% door to door waste collection,1064,100,100,DT02,Baloda Bazar,2023,N
11,Goal 11,11.6.2 Percentage of urban areas having drainage facility (covered),1068,50,50,DT02,Baloda Bazar,2023,N
11,Goal 11,11.6.3 Percentage Municipal Solid Waste (MSW) treated against MSW generated,1065,100,100,DT02,Baloda Bazar,2023,N
11,Goal 11,11.6.4 Installed septage treatment capacity as a proportion of septage generated in urban areas ,1066,100,100,DT02,Baloda Bazar,2023,N
12,Goal 12,"12.4.1 Percentage use of nitrogen fertilizer out of total N,P,K, (Nitrogen, Phosphorous, Potassium)",1005,63.6,63.6,DT02,Baloda Bazar,2023,N
12,Goal 12,12.5.1 Per capita hazard waste generated,1016,0,0,DT02,Baloda Bazar,2023,N
12,Goal 12,12.5.2 Quantity of hazardous waste recycled to total hazardous waste generated (in percentage),1017,99,99,DT02,Baloda Bazar,2023,N
12,Goal 12,12.5.3 Per capita (in gm) plastic waste generated in urban areas ,1003,7.5,7.5,DT02,Baloda Bazar,2023,N
12,Goal 12,12.5.4 Proportion of BMW treated to total quantity of BMW generated ,1018,100,100,DT02,Baloda Bazar,2023,N
12,Goal 12,12.5.5 Percentage of wards with 100% source segregation,1067,100,100,DT02,Baloda Bazar,2023,N
13,Goal 13,"13.1.1 Number of deaths attributed to extreme climate per 1,00,000 population ",1063,0.43,0.41,DT02,Baloda Bazar,2023,N
13,Goal 13,13.2.1 CO2 saved from LED bulbs per 1000 population,1054,27.8,27.8,DT02,Baloda Bazar,2023,N
15,Goal 15,15.2.1 Total area covered under different afforestation schemes (in Hectare),1055,0.8,0.781,DT02,Baloda Bazar,2023,N
15,Goal 15,"15.7.1 Number of cases registered under the Wildlife Protection Act, 1972",1056,2,2,DT02,Baloda Bazar,2023,N
16,Goal 16,"16.2.1 Number of victims rescued from human trafficking per 1,00,000 population",1006,0,0,DT02,Baloda Bazar,2023,N
16,Goal 16,"16.2.2 Proportion of Crime Committed against Children during the year, ( per 1,00,000 children)",1043,57.71,57.71,DT02,Baloda Bazar,2023,N
16,Goal 16,16.2.3 Number of Missing Children per lakh population,1044,42.71,42.71,DT02,Baloda Bazar,2023,N
16,Goal 16,16.3.1 Number of courts per lakh population,1038,1.3,1.3,DT02,Baloda Bazar,2023,N
16,Goal 16,"16.5.1 Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",1041,2,2,DT02,Baloda Bazar,2023,N
16,Goal 16,16.9.1 Percentage of net births registered,1058,101.3,67,DT02,Baloda Bazar,2023,N
16,Goal 16,16.9.2 Percentage of net death registered,1059,67,101.3,DT02,Baloda Bazar,2023,N
16,Goal 16,"16.9.3 Proportion of population covered under Aadhaar, (in percentage)",1078,88.89,89.9,DT02,Baloda Bazar,2023,N
1,Goal 1,1.2.1 District MPI score,1051,0.14,0.143,DT03,Balrampur,2023,N
1,Goal 1,"1.3.1 Percentage of households with any usual member covered by a health scheme or health insurance, (in percentage)",1045,62.3,62.3,DT03,Balrampur,2023,N
1,Goal 1,"1.3.2 Percentage of population covered by Social Protection Schemes (Old age/widow, divorced, separated, destitute/disabled)",1032,10.29,10.29,DT03,Balrampur,2023,N
1,Goal 1,1.3.3 Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),1012,99.99,87.59,DT03,Balrampur,2023,N
1,Goal 1,1.3.4 Number of disabled persons who have worked in MGNREGA as a proportion of disabled persons registered in MGNREGA,1013,13,16.85,DT03,Balrampur,2023,N
1,Goal 1,1.3.5 Percentage of households living in katcha houses (rural),1061,27.79,58.26,DT03,Balrampur,2023,N
2,Goal 2,2.1.1 Children under 5 years who are underweight (weight-for-age) (%),1033,10.84,38.8,DT03,Balrampur,2023,N
2,Goal 2,"2.1.2 Proportion of beneficiaries covered under Chhattisgarh National Food Security Act 2012, (in percentage)",1052,88.99,88.99,DT03,Balrampur,2023,N
2,Goal 2,2.2.1 Children under 5 years who are stunted (height-for-age) (%) ,1034,22.66,24.73,DT03,Balrampur,2023,N
2,Goal 2,2.2.2 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),1082,65.5,56.2,DT03,Balrampur,2023,N
2,Goal 2,2.2.3 Adolescent (15 -19 years) who are anaemic (%),1001,52.4,52.41,DT03,Balrampur,2023,N
2,Goal 2,2.3.1 Agriculture productivity of rice (in kg per hectare),1021,2546,2546,DT03,Balrampur,2023,N
2,Goal 2,2.3.2 Agriculture productivity of wheat (in kg per hectare),1022,1996,1996,DT03,Balrampur,2023,N
3,Goal 3,3.1.1 Percentage of Institutional Deliveries conducted (Including C-Sections),1035,78.9,64.2,DT03,Balrampur,2023,N
3,Goal 3,"3.2.1 Under - five mortality rate, (per 1,000 live births)",1046,83,83,DT03,Balrampur,2023,N
3,Goal 3,3.2.2 Percentage of children aged 12-23 months fully immunized,1028,86.2,76.1,DT03,Balrampur,2023,N
3,Goal 3,"3.3.1 Tuberculosis incidence per 1,00,000 population",1053,90,109,DT03,Balrampur,2023,N
3,Goal 3,"3.4.1 Suicide mortality rate, (per 1,00,000 population)",1008,25.76,25.76,DT03,Balrampur,2023,N
3,Goal 3,"3.6.1 People killed in road accidents (per 1,00,000 population) ",1007,9.1,21.88,DT03,Balrampur,2023,N
3,Goal 3,"3.8.1 Total physicians, nurses and midwives per 10,000 population",1029,55.06,4.8,DT03,Balrampur,2023,N
4,Goal 4,4.1.1 Adjusted Net Enrolment Ratio in elementary (class 1-8) education,1071,99.71,99.71,DT03,Balrampur,2023,N
4,Goal 4,4.1.2 Gross Enrolment Ratio in higher secondary (class 11-12) education,1072,58.73,58.73,DT03,Balrampur,2023,N
4,Goal 4,4.1.3 Percentage of students in grade 8 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades,1039,55.4,55.4,DT03,Balrampur,2023,N
4,Goal 4,4.1.4 Average annual dropout rate at secondary level (class 9-10),1073,18,18,DT03,Balrampur,2023,N
4,Goal 4,4.3.1 Gross enrolment ratio (GER) in higher education,1031,20.1,18.84,DT03,Balrampur,2023,N
4,Goal 4,4.a.1 Proportion of schools with access to: basic drinking water,1074,99.1,99.1,DT03,Balrampur,2023,N
4,Goal 4,4.a.2 Proportion of schools with access to: basic sanitation facilities,1075,100,100,DT03,Balrampur,2023,N
4,Goal 4,4.c.1 Proportion of trained teachers at secondary level (class 9-10),1076,100,100,DT03,Balrampur,2023,N
4,Goal 4,4.c.2 Pupil Teacher ratio at secondary level (class-9-10),1077,12.98,12.98,DT03,Balrampur,2023,N
5,Goal 5,"5.1.1 Rate of crimes against women per 1,00,000 female population",1009,5.48,77.14,DT03,Balrampur,2023,N
5,Goal 5,5.1.2 Sex Ratio at Birth,1030,980,887,DT03,Balrampur,2023,N
5,Goal 5,5.2.1 Per lakh women who have experienced cruelty/physical violence by husband or his relative during the calendar year,1042,77.14,5.48,DT03,Balrampur,2023,N
5,Goal 5,"5.5.1 Proportion of seats held by women in  Local Self Government- three tire panchayat and ULB election, (in percentage) ",1019,53.03,54.03,DT03,Balrampur,2023,N
5,Goal 5,5.6.1 Unmet need for family planning for currently married women aged 15-49 years (in percentage),1047,16,16,DT03,Balrampur,2023,N
5,Goal 5,5.a.1 Operational land holdings (Female operated operational Holdings),1020,23,23,DT03,Balrampur,2023,N
6,Goal 6,6.1.1 Percentage of Rural Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),1062,29.9,29.9,DT03,Balrampur,2023,N
6,Goal 6,6.1.2 Percentage of Urban Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),1079,51,51,DT03,Balrampur,2023,N
6,Goal 6,6.1.3 Percentage of Rural population using an improved drinking water source (Population covered with >=40 LPCD),1026,100,100,DT03,Balrampur,2023,N
6,Goal 6,6.1.4 Percentage of Urban population using an improved drinking water source,1080,63,63,DT03,Balrampur,2023,N
6,Goal 6,6.2.1 Proportion of Rural households having access to toilet facility ,1025,100,90,DT03,Balrampur,2023,N
6,Goal 6,6.2.1 Proportion of Urban households having access to toilet facility ,1049,100,100,DT03,Balrampur,2023,N
6,Goal 6,6.2.2 Percentage of Gram Panchayat (GP) achieving Open Defecation Free (ODF) target,1024,100,100,DT03,Balrampur,2023,N
6,Goal 6,6.2.3 Proportion of schools with separate toilet facility for girls (in percentage),1004,98.16,98.16,DT03,Balrampur,2023,N
6,Goal 6,6.4.1 Percentage ground water withdrawal against availability,1015,25,25.07,DT03,Balrampur,2023,N
6,Goal 6,6.6.1 Percentage of blocks/mandals/taluka over- exploited,1014,0,0,DT03,Balrampur,2023,N
7,Goal 7,7.1.1 Percentage of households electrified ,1027,100,100,DT03,Balrampur,2023,N
7,Goal 7,7.1.2 Percentage of household using clean cooking fuel,1057,66.06,66.06,DT03,Balrampur,2023,N
8,Goal 8,"8.10.1 Number of banking outlets per 1,00,000 population",1069,60.99,9.58,DT03,Balrampur,2023,N
8,Goal 8,"8.10.2 Automated Teller Machines (ATMs) per 1,00,000 population",1011,13.13,4.65,DT03,Balrampur,2023,N
8,Goal 8,8.10.3 Proportion of women account holders in PMJDY ,1070,9.58,52.26,DT03,Balrampur,2023,N
8,Goal 8,8.5.1 Workforce Participation Ratio (WPR) (in rate per 100). a) Total b) male c) female ,1036,4.65,58.09,DT03,Balrampur,2023,N
8,Goal 8,8.5.2 Labour force participation rate (%) (15-59 years) ,1037,52.26,12.95,DT03,Balrampur,2023,N
