goal_id,indicator_desc,cg_year,normalize_score,cg_value,district_indicator_master_id
Goal 12,"12.4.1 Percentage use of nitrogen fertilizer out of total N,P,K, (Nitrogen, Phosphorous, Potassium)",2023,94.45087,57.96,1005
Goal 12,12.5.1 Per capita hazard waste generated,2023,96.29826,1.81,1016
Goal 12,12.5.2 Quantity of hazardous waste recycled to total hazardous waste generated (in percentage),2023,84.98799,85,1017
Goal 12,12.5.3 Per capita (in gm) plastic waste generated in urban areas ,2023,72.218185,15.28,1003
Goal 12,12.5.4 Proportion of BMW treated to total quantity of BMW generated ,2023,100,100,1018
Goal 12,12.5.5 Percentage of wards with 100% source segregation,2023,100,100,1067
Goal 13,"13.1.1 Number of deaths attributed to extreme climate per 1,00,000 population ",2023,82.6875,2.77,1063
Goal 13,13.2.1 CO2 saved from LED bulbs per 1000 population,2023,100,34.83,1054
Goal 15,15.2.1 Total area covered under different afforestation schemes (in Hectare),2023,54.411766,1.5,1055
Goal 15,"15.7.1 Number of cases registered under the Wildlife Protection Act, 1972",2023,85.71429,1,1056
Goal 16,"16.2.1 Number of victims rescued from human trafficking per 1,00,000 population",2023,100,0,1006
Goal 16,"16.2.2 Proportion of Crime Committed against Children during the year, ( per 1,00,000 children)",2023,43.40576,56,1043
Goal 16,16.2.3 Number of Missing Children per lakh population,2023,63.18727,31,1044
Goal 16,16.3.1 Number of courts per lakh population,2023,38.52459,2,1038
Goal 16,"16.5.1 Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",2023,91.74312,1,1041
Goal 16,16.9.1 Percentage of net births registered,2023,100,109,1058
Goal 16,16.9.2 Percentage of net death registered,2023,55.357143,85,1059
Goal 16,"16.9.3 Proportion of population covered under Aadhaar, (in percentage)",2023,90.61128,97.22,1078
